Review,Sentiment
"I was tasked with finding a spot for a group dinner of eight and landed on Playa Cabana. It was pretty easy to make a reservation via their email system and our table was ready upon arrival. I don't know why I was expecting more of a kitschy Mexican restaurant, but that's not what we got. Instead, it was very intimate and cozy and the service was stellar... We had a great night!

To start, we opted for some guac which was tasty and had a nice little kick to it. To eat, I split the elotes a la parrilla and an order of tacos al pastor with my husband. The soft tacos come in an order of three but you can add on a fourth, so we did that to share evenly. It was the perfect amount of food for us, especially since the tortilla chips kept flowing! The pork in the tacos was seasoned very well. I'm used to the meat being cubed rather than in strips, so this was different but still tasty. They really packed in the filling, so I left super full. 

To sip, we shared pitches of mojitos which were nice and strong... The drink menu was quite lengthy and again, perfect for our group of revelers. 

Mexican in Canada seemed like a risky choice, but this was an ideal meal for us! Would definitely recommend to anyone looking for tacos OR a nice group dinner joint.",2
"Went here with my friends and family. I liked the spice side fillings and their lobster tacos was good I heard. I had the veggie enchiladas and was alright. Even the veggie tostadas was good. However, I feel the food was expensive for the food quality.
We got the 
Nachos  - small but good
Guacamole and chips - good needed some spice 
Chicken wings - so so 
Veggie enchiladas - was so so 
Veggie burrito - good 
Veggie tostados - good
Shrimp enchiladas - was so so 
Lobster tacos - very good 
Fish tacos - very good 
Pork tacos - was so so",1
"Surprisingly good Flautas! They came as 3 rolls made of a crunchy tortilla containing lots of shredded juicy beef (although I thought it tasted more like pork haha). It all sat in a pool of thick savoury sauce that wasn't overly salty. I also tried their White Wine Sangria, $60 for a pitcher was OK for this citrusy drink with a decent amount of alcohol! 

TIP: if you're celebrating a birthday, let the staff know and they'll surprise the bday person with a hat, song & free slice of a DELICIOUS dulce Leche soaked cake !

Otherwise, the indoor seating space is really tight and the service was subpar.",1
"As a Mexican I always crave authentic Mexican food in Toronto but have difficulties finding it. Playa Cabana is very good and does a an amazing job at keeping things as authentic as possible.

Today at lunch I had the chips and salsa which were yummy. The Playa Burrito with Pork Carnitas was also very good. The green salsa was a bit citrusy but overall very good. I would order it again.

This is definitely a place to come back for some great Mexican food. Staff were also friendly and fast.",2
Best tacos I've ever had. Both locations are great and offer a great selection of Mexican fare.,2
"Food was exceptional and service was pretty fast. It's in a weird location tho only visited because it was about 10 minute walk from the ROM.
Only issues was the seating area was a bit small inside so you feel squished. But they have some more spots outside for when it's a nice day. I recommend to anyone who wants to try real authentic Mexican food. Everything tastes fresh and makes you want to order more.",2
"Their space is a bit cramped, but Playa Cabana makes it work.

I'm a big fan of Mexican and am of the opinion that Toronto is starving of good Mexican food. Playa Cabana, thankfully, does it well.

I had one of their cocktails and found it decent. Food-wise, I had the carnitas burrito, which was also decent.

Next time, I'll take advantage of the all you can eat chips + guac suggestion that others have made!",2
"Okay, so I found my new favourite Latin spot. I was frequenting the other Playa Cabana on Dundas W - however they changed their menu and all went to hell in my opinion. I recently dined at Playa Cabana and was wow'd. This place really needs 5 stars because the food was AMAZING, but it gets 4 stars because the service was pretty bad. 

It wasn't busy at all when I walked in, maybe 2 tables were full. I kinda already knew what I wanted (who else checks the menu before hand) lol. 

Ordered the short rib tacos because holy hell it sounded amazing, short rib enchiladas (yes, I love short rib) grilled Mexican corn, the tres leche cake & Churros. Relax, relax, I wasn't alone. The tacos were delicious, please please don't change the menu! I have to say the Enchiladas were my favourite. The beans had so much flavour, the sauces were perfect & the combination of all the flavours with the extra sauces on the table made my life complete! The grilled corn was okay, but nothing special. 

Moving on to the highlight - Dessert! Wow! The Churros were actually fucking amazing. So crunchy, so much sugar. The cake was nothing like I've tasted, so moist and light. I could have eaten 3 slices! 

PLEASE DO NOT CHANGE THE MENU! I will be back! 

Keep Eating, 
Angela",2
"Went last week. Food is very good! Churros were amazing  and drinks are made with fair amount of alcohol compared to other places. Friendly staff! Would recommended! Make sure to make reservations as it is a very very cozy place. Unless you don't mind sitting at the bar, as I did.",2
"Yes all day er'rday to their chips -- they make a fresh batch each day! No pic of that here since we ate them so fast along with the fresh red salsa.

The Baja fried fish tacos were delicious... I don't even really like fish (unless we're talking about specific sushi rolls) but I gobbled these tacos up. 

I'm looking forward to trying the other locations as I think the menus differ slightly. Nice place!",2
"I was skeptical of this place at first as it look like I'm walking into a duplex, but man was I wrong. I should know that hole in the walls are the best kind. The service probably could have been better which is why the 4 and not the 5. 

The chips are amazing, freshly made, hot and the perfect amount of salt. The salsa you could tell was just made and that it all came straight from the garden. 

My favorite was the short rib taqueria. The short ribs alone I could have eaten bowls of it, full of flavor and so tender. 

The carnitas tacos were also tender but my favorite was the crispy skin, so crunchy and probably oh so bad for me.

The fish tacos were really good too, nice and flaky.",2
"Playa Cabana is a pretty small restaurant, so I made a reservation for 2 for 7pm on a Wednesday night - we were seated immediately, and there were still a few other tables free around us. The place started to get quite busy at around 8, so it's definitely worth making a reservation especially if you're going with as a party larger than 2.

Even though it can feel a bit cramped, the service and food were good. I got the baja fish tacos (comes in a set of 3) - the fish was really good, but I feel like it could have used a bit more guac/sauce around the sides, as it sometimes tasted a bit bland. I wasn't full after the 3 tacos, but generally have a pretty big appetite! 

Overall, I still enjoyed my time, but am not sure if I would return at this price point.",2
"My friend and I decided on Mexican food for dinner and this popped up as nearby where we were at the time, Yorkville/Annex area. As we walked in, immediately we're greeted and seated in a tight space for 2. The menu was explained to us and water was given, then we were left for a few minutes to decide. 

We decided on salsa fresca & chips, chicken enchiladas suizas and short rib emmoladas along with a bottle each of corona and negra cervezas.

Salsa fresca and chips arrived first, the tomato salsa was delicious, the morita chile seemed to have been grilled before it was mashed together with tomatoes and red onions and went well with the crispy chips. (If you come for anything at all, this would be it and definitely skip the guac as it didn't seem appetizing.)

My friend and I shared the chicken enchiladas suizas and short rib emmoladas, while tasty, I could've gotten it somewhere else for cheaper. 

Because of how tight the space is, I was able to look around at what the other dinners ordered and the the tacos seemed to be more popular, so will have to come back and try those.

We also ordered alfajores, which at $8 for 2 was just meh.",1
"I'm a long-term fan of Playa Cabana restaurants, and this one is my favourite. The restaurant is quite small, so it's best to make reservation ahead of time. Everything from their ceviche, guacamole, poblano-corn crab cakes, and avocado & black beans salad, to tacos and burritos are some of the best I've tried in the GTA. My go-to dishes are the lobster tacos and side avocado & black beans salad. The lobster tacos come in crunchy hard shells filled with large, tender pieces of lobster meat, and queso cheese.",2
"Playa Cabana is about a 15 minute walk from my office and I hadn't planned on going there but the person I had an appointment with nearby wasn't available so I decided to have lunch first.

Walking in, it's a very narrow, small space, almost claustraphobic. The dim lighting didn't help but it set an intimate mood for the place. This looks like a nice neighbourhood watering hole and the immediate neighbourhood is mostly residential.

I ordered the Tostadas with beef and it was served on a crispy tortilla, topped with lettuce, guacamole, black beans, and a few other ingredients.

The presentation was nice and the taste was even nicer! With layers of ingredients, every bite revealed a different flavour and texture and they all worked well together. Delicious!

There were four different sauces on the table, with varying degrees of heat. I tried them all and they were all good.

I may just have to make this walk more often.",2
"Best salsa ever! Honestly everything was really good and so was the service and the atmosphere. We had guacamole, salsa, octopus, short rib (my favorite) and Baha fish tacos and Curro Putin. The only thing that was not great was the espresso I had at the end, but really who cares? This place deserves all the great reviews it has.",2
"I've been duped by yelp reviews!! We were given recommendations for this place as a great lunch spot which was super cute inside and patio area was so inviting. The stars were for the decor and the one dish! 

Food we ordered:
Chile Rellenos- with rice and black beans- this was the star dish for sure, two large chille rellenos and delicious rice. Sauce was tasty as well. 

Guacamole- prepared guacamole probably mixed with fresh avocado, you can just tell it's from a bag because it's watery instead of creamy. Not special at all

Grilled fish tacos- this is so upsetting, they said it was bass, well it's not. If it was it's the mushiest bass I've ever eaten. Three little tacos that that hid the tiny piece of fish for $19 bucks! Sad don't get this

So disappointed",1
"My bf and I decided to come to this Mexican restaurant to celebrate his birthday after reading such good reviews about the tacos - and we can now confirm they taste just as good as they look! 

We started with the chips and guacamole (which was more than plentiful for 2 people and was super fresh!) and Dave's Margaritas to wash it all down. For tacos, they come in a set of 3, and we opted for the Short Rib Brisket Crispy Tacos, Baja Style Fish Tacos, and the Al Pastor Tacos. The Short Rib and Baja Fish Tacos were by far our favourites of the 3. The Short Rib was tender, juicy, flavourful and served with guac, pico de gallo and cotija cheese on a crispy corn tortilla that had a layer of melted cheese at the base. YUM! The Baja Fish tacos (served with fresh lime and cabbage slaw) were also equally delicious and we fell in love with the batter. If you love a good fish taco, these are the ones to get!

Since we both love pineapple we knew we had to get the Al Pastor tacos, however, we were disappointed when our tacos did not arrive with the roasted pineapple as listed on the menu (but instead a slice of mandarin?). While the pork was flavourful, it was our least favourite of the three... and we were really looking forward to the pineapple!

For dessert, we got the Churro Poutine, which for $10 was a bit pricey for 3 small churros. Served in a cup with caramel sauce and marshmellow curds (we opted out of the marshmellow), they were perfectly fried and warm with a soft center and crisp cinnamon-sugar outside. Definitely satisfied our sweet tooth!

It's a small restaurant so plan ahead and make a reservation! Our server was super friendly and service was quick. Plus, the tacos were seriously some of our favourites we've had - you can't go wrong.",2
"Let me just say right off the bat: THEY HAVE ALL YOU CAN EAT CHIPS AND GUACAMOLE!!!!!!!!!
You can literally buy a large chips and guacamole for 6 dollars and just keep eating until your full. For seven people!!!!!! I would know I've done it!
It's literally heaven! 
There other food is amazing as well but c'mon!
After the eight refills of my large platter of chips and quacamole I was in no position to complain",2
"Love this place! I had a mad craving for tacos one day, so I took a detour on my way home from work and stopped in for some Mexican fare. 

Obviously, I'm not Mexican and I have actually never even been to Mexico, so I'm definitely not qualified to speak about the authenticity of the food here, but I most certainly can comment on the flavours and presentation of the food. My opinion is WOW... just Wow. Seriously delicious food. I had the octopus tacos, guacamole with chips and finished off with crab cakes. I also had a beer, but in hindsight I should've had a margarita instead. They looked delicious! 

I tried a few different hot sauces, and boy, were they good! A couple were a bit too hot for me, but I enjoyed trying them. I put a couple of drops of each one onto the guacamole as I devoured it, so I could see which one I liked best. 

The octopus tacos were perfection. I should've ordered double and skipped the crab cakes, as they were not as enjoyable for me. The guacamole was fantastic and I loved the house made chips. 

Service was exceptional. I sat at the bar on my own and everyone was extremely friendly and I felt very welcome. Oftentimes, when dining solo, I feel a bit out of place or ignored. Not the case here. It seemed that the staff really went out of their way to make me feel at ease and ensure that I had a good experience. What a difference this makes in a dining experience. 

Can't wait to go back for more tacos!!",2
"Wilbur is a great place for fast casual mexican food if you are spending some time downtown. They are in the heart of the King Street West Entertainment District so getting there is easy if you are using public transportation. 

I love their taco selection. I generally get the fish and beef options anywhere I go but I really love the mushroom taco at Wilburs. The best part of going to the restaurant itself is their selection of delicious hot sauces and salsa options! 

I like that they are a hybrid self serve restaurant. You order at the bar and they bring the food to you but you have to get up and help yourself to the (unlimited) water from the cooler and also the sauces. 

I can't wait for the warm weather to go sit on the patio at Wilburs and watch the crowds walk by on King West.",2
"This busy place has some damn tasty tacos. While I normally really chase the 'authenticity' dragon when it comes to tacos, I do really enjoy this place as well.

Pros: 
1. The menu is simple and straightforward. You can get tacos and bowls, the choices are pretty clear. 
2. The fillings/meats are all pretty good. I really enjoy the Al pastor and the Korean taco. The flavours are beautiful for those.
3. An insane choice of many kinds of salsa, and you can choose and take as much as you want - pretty amazing.

Cons:
1. The trendy place is always busy and loud. Not great if you want to talk to someone while grabbing a bite. Despite the busy-ness, however, orders are done pretty quickly, usually (that's a pro ).
2. The guac portions are tiny, but that's most places these days.",2
